id,model,name,account_id:id,date,ref,partner_id:id,move_id:id,debit,credit,journal_id:id,period_id:id,account_tax_id,analytics_id:id
str,str,str,search;code,str,str,ref,ref,str,str,ref,ref,search;code,ref
aml_cicsa_001,account.move.line,Pago de Retenciones de ISLR Diciembre 2013/ Tesoro Nacional,20140101,2014-01-09,,,am_cicsa_19000000001,647361.01,0,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,,
aml_cicsa_002,account.move.line,Pago de Retenciones de ISLR Diciembre 2013/ Tesoro Nacional,20101901,2014-01-09,,,am_cicsa_19000000001,0,647361.01,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,,
aml_cicsa_003,account.move.line,Adelanto para pago de electricidad Diciembre 2012/ Fernando de la Rosa,11310006,2014-01-13,,,am_cicsa_19000000002,1395.05,0,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,,
aml_cicsa_004,account.move.line,Adelanto para pago de electricidad Diciembre 2012/ Fernando de la Rosa,20101202,2014-01-13,,,am_cicsa_19000000002,0,1395.05,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,,
aml_cicsa_005,account.move.line,Adelanto para pago de electricidad Diciembre 2012/ Fernando de la Rosa,20101202,2014-01-13,,,am_cicsa_19000000003,1395.05,0,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,,
aml_cicsa_006,account.move.line,Adelanto para pago de electricidad Diciembre 2012/ Fernando de la Rosa,10111005,2014-01-13,,,am_cicsa_19000000003,0,1395.05,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,,
aml_cicsa_007,account.move.line,"Estacionamiento CICSA. enero 2014. Fact 22561. ODS-00117/ Garaje Torre BVC, C.A",73149002,2014-01-16,,,am_cicsa_19000000004,14732.14,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,,cicsa_data.aapi_021
aml_cicsa_008,account.move.line,"Estacionamiento CICSA. enero 2014. Fact 22561. ODS-00117/ Garaje Torre BVC, C.A",11203114,2014-01-16,,,am_cicsa_19000000004,1767.86,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,,
aml_cicsa_009,account.move.line,"Estacionamiento CICSA. enero 2014. Fact 22561. ODS-00117/ Garaje Torre BVC, C.A",20140109,2014-01-16,,,am_cicsa_19000000004,,1325.9,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,,
aml_cicsa_010,account.move.line,"Estacionamiento CICSA. enero 2014. Fact 22561. ODS-00117/ Garaje Torre BVC, C.A",20140101,2014-01-16,,,am_cicsa_19000000004,,294.64,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,,
aml_cicsa_011,account.move.line,"Estacionamiento CICSA. enero 2014. Fact 22561. ODS-00117/ Garaje Torre BVC, C.A",20101002,2014-01-16,,,am_cicsa_19000000004,,14879.46,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,,
aml_cicsa_012,account.move.line,"Estacionamiento PCB. enero 2014. Fact 22560. ODS-00117/ Garaje Torre BVC, C.A",11213103,2014-01-16,,,am_cicsa_19000000005,17410.71,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,,
aml_cicsa_013,account.move.line,"Estacionamiento PCB. enero 2014. Fact 22560. ODS-00117/ Garaje Torre BVC, C.A",11203113,2014-01-16,,,am_cicsa_19000000005,2089.29,,cicsa_data.aj_cicsa_general,cicsa_data.ap_cicsa_01,,
